2017-11-13 11:47:50,017 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-22)
2017-11-13 11:47:51,404 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-23)
2017-11-13 11:47:52,803 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-24)
2017-11-13 11:47:54,206 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-25)
2017-11-13 11:47:55,615 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-26)
2017-11-13 11:47:57,035 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-27)
2017-11-13 11:47:58,743 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-28)
2017-11-13 11:48:00,201 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-29)
2017-11-13 11:48:01,573 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-30)
2017-11-13 11:48:02,973 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-31)
2017-11-13 11:48:04,697 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-01)
2017-11-13 11:48:06,072 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-02)
2017-11-13 11:48:07,450 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-03)
2017-11-13 11:48:09,154 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-04)
2017-11-13 11:48:10,556 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-05)
2017-11-13 11:48:12,023 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-06)
2017-11-13 11:48:13,775 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-07)
2017-11-13 11:48:15,588 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-08)
2017-11-13 11:48:16,956 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-09)
2017-11-13 11:48:18,457 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-10)
2017-11-13 11:48:19,836 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-11)
2017-11-13 11:48:21,210 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-12)
2017-11-13 11:48:22,648 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-13)
2017-11-13 11:48:24,352 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-14)
2017-11-13 11:48:25,716 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-15)
2017-11-13 11:48:27,217 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-16)
2017-11-13 11:48:29,092 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-17)
2017-11-13 11:48:30,743 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-18)
2017-11-13 11:48:32,134 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-19)
2017-11-13 11:48:33,532 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-20)
2017-11-13 11:48:34,946 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-21)
2017-11-13 11:48:36,431 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-22)
2017-11-13 11:48:37,881 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-23)
2017-11-13 11:48:39,240 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-24)
2017-11-13 11:48:40,628 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-25)
2017-11-13 11:48:42,042 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-26)
2017-11-13 11:48:43,430 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-27)
2017-11-13 11:48:45,111 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-28)
2017-11-13 11:48:46,535 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-29)
2017-11-13 11:48:47,926 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-30)
2017-11-13 11:48:49,322 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-01)
2017-11-13 11:48:51,020 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-02)
2017-11-13 11:48:53,020 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-03)
2017-11-13 11:48:54,421 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-04)
2017-11-13 11:48:55,859 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-05)
2017-11-13 11:48:57,269 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-06)
2017-11-13 11:48:58,668 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-07)
2017-11-13 11:49:00,095 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-08)
2017-11-13 11:49:01,496 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-09)
2017-11-13 11:49:02,867 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-10)
2017-11-13 11:49:04,224 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-11)
2017-11-13 11:49:06,591 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-12)
2017-11-13 11:49:07,983 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-13)
2017-11-13 11:49:09,703 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-14)
2017-11-13 11:49:11,114 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-15)
2017-11-13 11:49:12,523 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-16)
2017-11-13 11:49:14,061 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-17)
2017-11-13 11:49:15,592 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-18)
2017-11-13 11:49:16,964 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-19)
2017-11-13 11:49:18,650 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-07-20)
